Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

U1         SSOP-28       25.23959mm    12.36407mm    30.11159mm    18.88032mm    27.69809mm     8.14282mm  T        180.00 PL2303HXD-SSOP28
R13        0603          32.85759mm     6.83332mm    32.85759mm     6.83332mm    32.85759mm     7.65834mm  T        270.00 4.7K      
R12        0603          43.52559mm     6.83332mm    43.52559mm     6.83332mm    43.52559mm      6.0083mm  T         90.00 4.7K      
Q4         SOT-23        35.90559mm     6.83332mm    35.90559mm     6.83332mm    34.88959mm     7.78582mm  T        270.00 2N7002K   
Q3         SOT-23        40.47759mm     6.83332mm    40.47759mm     6.83332mm    41.49359mm     5.88082mm  T         90.00 2N7002K   
C1         0603          16.98259mm     9.75432mm    16.98259mm     9.75432mm    17.80761mm     9.75432mm  T        180.00 10UF      
C2         0603          16.98259mm    22.70832mm    16.98259mm    22.70832mm    16.15757mm    22.70832mm  T        360.00 0.1UF     
C3         0603          16.98259mm    11.91332mm    16.98259mm    11.91332mm    16.15757mm    11.91332mm  T        360.00 0.1UF     
C4         0603          32.85759mm    15.72332mm    32.85759mm    15.72332mm    32.85759mm    16.54834mm  T        270.00 0.1UF     
C5         0603          16.98259mm    20.54932mm    16.98259mm    20.54932mm    16.15757mm    20.54932mm  T        360.00 10UF      
D1         SOD-323-BZT52     9.36259mm     9.75432mm     9.36259mm     9.75432mm     8.21259mm     9.75432mm  T         90.00 ZD5.6V    
D2         SOD-323-BZT52     9.36259mm    12.29432mm     9.36259mm    12.29432mm     8.21259mm    12.29432mm  T         90.00 ZD5.6V    
D3         SOD-323-BZT52     9.36259mm    14.32632mm     9.36259mm    14.32632mm     8.21259mm    14.32632mm  T         90.00 ZD5.6V    
D4         SOD-323-BZT52    46.70059mm    14.32632mm    46.70059mm    14.32632mm    47.85059mm    14.32632mm  T        270.00 ZD5.6V    
D5         SOD-323-BZT52    46.70059mm    12.16732mm    46.70059mm    12.16732mm    47.85059mm    12.16732mm  T        270.00 ZD5.6V    
D6         SOD-323-BZT52    46.70059mm     9.62732mm    46.70059mm     9.62732mm    47.85059mm     9.62732mm  T        270.00 ZD5.6V    
Q1         SOT-23        35.90559mm    10.64332mm    35.90559mm    10.64332mm    34.88959mm    11.59582mm  T        270.00 2N7002K   
Q2         SOT-23        40.47759mm    10.64332mm    40.47759mm    10.64332mm    41.49359mm     9.69082mm  T         90.00 2N7002K   
R1         0603          16.98259mm     7.59532mm    16.98259mm     7.59532mm    16.15757mm     7.59532mm  T        360.00 BEAD      
R2         0603          16.98259mm    16.23132mm    16.98259mm    16.23132mm    16.15757mm    16.23132mm  T        360.00 22R       
R3         0603          16.98259mm    14.07232mm    16.98259mm    14.07232mm    17.80761mm    14.07232mm  T        180.00 22R       
R4         0603           9.36259mm    16.61232mm     9.36259mm    16.61232mm     8.53757mm    16.61232mm  T        360.00 BEAD      
R5         0603          16.98259mm    18.39032mm    16.98259mm    18.39032mm    16.15757mm    18.39032mm  T        360.00 1.5K      
R6         0603          30.82559mm    15.72332mm    30.82559mm    15.72332mm    30.82559mm     14.8983mm  T         90.00 4.7K      
R7         0603          30.82559mm     6.83332mm    30.82559mm     6.83332mm    30.82559mm     7.65834mm  T        270.00 BEAD      
R8         0603          30.82559mm    10.64332mm    30.82559mm    10.64332mm    30.82559mm      9.8183mm  T         90.00 BEAD      
R9         0603          46.57359mm    16.61232mm    46.57359mm    16.61232mm    45.74857mm    16.61232mm  T          0.00 BEAD      
R10        0603          32.85759mm    10.64332mm    32.85759mm    10.64332mm    32.85759mm    11.46834mm  T        270.00 4.7K      
R11        0603          43.52559mm    10.64332mm    43.52559mm    10.64332mm    43.52559mm      9.8183mm  T         90.00 4.7K      
J2         USB_A_TYPE_1    55.42965mm    13.30489mm    53.17999mm        16.8mm    53.17999mm         9.8mm  T         90.00 USB_B     
J1         USB_NTD        2.75001mm    13.30032mm     2.75001mm    13.30032mm     3.80002mm         9.8mm  T          0.00 USB_A     

